country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,1.41,,,,,,,,1.24,1.33,1.27,1.44,3.4,,1.54,1.23,1.25,1.39,1.5,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.423,,0.279,0.254,0.236,,,0.242,0.282,0.256,0.222,0.255,,0.257,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.777,0.949,0.897,0.983,,0.635,0.556,0.343,0.388,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446,0.57,0.386,0.41,0.558,0.47,0.529,0.543,0.505,0.514,0.484,0.346,0.355,,0.382,0.325,0.293,0.265,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,0.313,0.28,0.285,0.285,0.305,0.276,0.248,0.341,0.28,0.235,0.243,0.219,0.259,0.242,0.218,0.205,0.21,0.203,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.613,0.644,0.685,0.736,0.72,0.651,0.609,0.541,0.521,0.523,0.504,0.55,0.54,0.509,0.419,0.426,0.431,,,,
Djibouti,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,0.433,,0.527,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,0.0978,,0.123,0.124,,0.175,0.166,0.164,,0.209,0.204,,0.105,0.111,0.109,0.108,0.108,0.12,0.111
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.36,,5.92,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383,0.313,0.32,,0.246,0.245,0.22,0.177,0.184,,0.2,0.215,0.256,0.232,0.242,0.204,0.278,0.319,0.34,0.369,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.12,2.31,,2.91,,2.42,2.44,,,,,,,,1.28,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,,,,,,,,,,,,3.57,2.92,3.41,3.39,,2.66,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.373,0.357,0.359,0.354,0.346,0.329,0.32,0.305,0.311,0.371,0.368,0.363,0.36,0.355,0.358,0.345,0.339,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.295,,,0.342,0.343,0.336,0.338,0.352,0.36,0.389,0.373,0.364,0.341,0.338,0.334,0.33,0.316,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,2.22,1.03,1.15,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.102,0.143,,,,0.114,0.1,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395,0.373,0.361,0.34,0.336,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,2.17,2.36,1.84,1.51,,0.949,1.33,0.671,0.555,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,0.245,0.199,0.233,0.229,0.206,0.233,0.243,,,,,,,,,,0.112,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194,,,0.199,0.217,0.219,0.174,0.19,0.181,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,2.16,,,0.661,0.897,0.956,1,0.645,0.908,0.897,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368,,0.27,0.219,,0.255,0.182,0.125,0.137,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436,,0.481,0.52,0.469,0.409,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,0.335,0.34,0.32,0.314,0.311,0.239,0.233,0.233,0.236,0.242,0.276,0.247,0.281,0.212,0.254,0.233,0.212,0.254,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.339,0.336,0.328,0.292,0.263,0.275,0.254,0.26,0.267,0.276,0.264,0.224,0.247,0.239,0.239,0.248,0.273,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969,,,0.703,0.629,0.598,0.569,,,0.776,0.715,0.61,0.544,0.493,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,0.237,0.17,0.211,0.218,,0.233,0.216,0.195,0.208,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.351,0.292,0.234,0.202,0.257,0.234,0.17,0.182,0.152,0.17,0.148,0.122,0.128,,0.181,0.242,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,0.279,0.297,0.271,0.253,0.23,0.227,0.235,0.25,0.254,0.318,0.362,0.315,0.297,0.286,0.257,0.228,0.19,0.155,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,0.293,0.275,0.271,0.237,0.261,0.221,0.213,0.216,0.212,0.199,0.208,0.198,0.192,0.211,0.219,0.209,0.193,0.182,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,0.265,0.256,0.24,0.253,0.224,0.216,0.211,0.221,0.209,0.236,0.243,0.244,0.242,0.245,0.263,0.263,0.253,0.243,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717,0.607,0.33,0.382,0.584,,,0.44,0.568,0.545,0.494,0.388,0.42,,0.366,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.244,,0.206,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.774,,,,,,,,,,,,,,,,,,,0.232,0.226,0.253
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,,,,,0.0957,0.0923,0.113,0.099,0.0857,0.0746
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,2.3,,,2.81,,,,,,,,,,,0.764,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,1.25,1.32,1.13,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361,0.242,0.157,0.172,0.208,0.223,0.228,0.219,0.223,0.226,0.19,0.196,0.189,,0.184,0.174,0.0559,,0.0484,0.049,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669,,,0.697,1.1,0.851,,,,,,,0.209,0.147,0.181,0.146,0.217,0.203,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,0.316,0.27,0.223,0.194,0.181,0.135,0.116,,0.143,0.147,0.16,0.133,0.15,0.2,0.294,0.296,0.255,0.274,0.177,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,,0.196,0.216,0.208,0.166,0.141,0.113,0.107,0.105,0.171,0.195,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,8.42,7.94,,,,,10.5,,,,,,,,,,,,0.447
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246,0.219,,0.102,0.0914,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449,,,,0.338,0.322,0.201,0.196,0.174,0.163,0.161,0.16,0.169,0.192,0.236,0.246,0.246,0.269,0.248,0.18,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00396,,0.411,0.428,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,1.54,,,,,,,1.58,1.61,1.43,1.44,1.47,,0.953,1.03,,,0.000337,0.000381,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,24.9,18.6,,,,,,,,,14.5,13.2,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.809,1.09,0.976,0.893,0.683,,0.576,0.479,,0.595,0.455,0.589,0.441,0.441,,,0.259,0.248,0.238
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.86,,,,,,,,,1.14,1.17,1.29,1.81,1.15,1.12,1.52,1.66,1.89,1.67,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421,,,,0.443,,0.251,,,0.375,0.426,0.45,0.563,0.393,0.497,0.514,0.471,0.444,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.739,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.539,,0.859,,,,,,,,,1.63,,1.63,0.872,0.704,0.675,,0.928,0.958,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.338,0.464,0.415,0.275,0.211,,0.152,0.156,0.124,0.0925,0.0839,0.0877,0.108,0.111,0.105,0.0958,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,0.387,,0.301,0.414,0.394,0.37,0.376,0.355,0.374,0.384,0.431,0.406,0.359,0.363,0.369,0.391,0.365,0.297,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363,0.39,0.382,0.453,0.373,0.358,0.35,,0.329,,0.315,0.306,0.266
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,,,,,0.302,,0.183,,,,,,0.0509,0.0286,0.165,0.132,0.113,0.0798,0.107,0.0519,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.926,0.927,0.998,,,,,,,,,0.821,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,2.53,,,,,,1.49,1.66,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,0.167
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,0.817,0.959,,,1.15,,,,,,,,0.76,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.03,0.774,0.634,,,,,0.474,0.515,0.33,0.317,,0.223,0.267,0.242,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447,,,,,,,,,,,,,,,,,0.33,0.358,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281,0.264,0.269,0.253,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,5.69,4.12,4.46,4.52,5.65,6.23,,,3.13,3.15,2.75,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.465,0.449,0.386,0.429,0.471,0.485,0.503,0.48,0.437,0.457,0.45,0.475,0.434,0.415,,0.405,0.424,0.373,0.398,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,0.556,,,,,,0.221,0.139,,,,0.428,,,,,,,0.436,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786,0.545,0.63,0.699,0.672,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326,0.309,0.285,0.316,,0.258,,,,,,,0.195,0.187,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.368,0.212,0.227,0.176,,,0.174,,,0.143,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,0.127,0.127,0.0936,0.113,,,,,,,,,,0.104,0.109,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,0.145,0.134,0.141,0.138,0.122,0.112,,0.0928,0.0972,0.106,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.209,0.175,0.18,0.211,0.197,0.212,0.213,0.169,0.164,0.182,0.186,0.204,0.201,0.225,0.254,0.265,0.281,0.254,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.258,0.262,0.238,0.248,0.22,0.253,0.268,0.321,0.255,0.292,0.3,0.269,,0.251,0.269,0.269,,,
